BCID: 105	hitmap: 00000000000000000000000000010000	Boards: 0	VMMs: 4		CHs 24 4 4 4 4 4 4 4
BCID: 2592	hitmap: 00000000000000000000000000000000	Boards: N/A	VMMs: N/A
BCID: 153	hitmap: 00000000000000000000000000010000	Boards: 0	VMMs: 4		CHs 24 4 4 4 4 4 4 4
BCID: 2641	hitmap: 00000000000000000000000000000000	Boards: N/A	VMMs: N/A
BCID: 154	hitmap: 00000000000000000000000000010000	Boards: 0	VMMs: 4		CHs 24 4 4 4 4 4 4 4
BCID: 2642	hitmap: 00000000000000000000000000000000	Boards: N/A	VMMs: N/A
BCID: 1075	hitmap: 00000000000000000000000000000000	Boards: N/A	VMMs: N/A
BCID: 3563	hitmap: 00100000000010000000100000010000	Boards: 0 1 2 3	VMMs: 4 3 3 5	CHs 22 23 22 2 1 1 1 1
BCID: 1076	hitmap: 00000000000000100100000000000100	Boards: 0 1 2	VMMs: 2 6 1	CHs 6 1 21 4 4 4 4 4
BCID: 3564	hitmap: 00100000000010000000100000010000	Boards: 0 1 2 3	VMMs: 4 3 3 5	CHs 22 23 22 2 1 1 1 1
BCID: 1077	hitmap: 00000000000000100000000000000000	Boards: 2	VMMs: 1		CHs 21 4 4 4 4 4 4 4
BCID: 3565	hitmap: 00000000000000000000000000000000	Boards: N/A	VMMs: N/A
BCID: 2291	hitmap: 00000000000000000100000000000100	Boards: 0 1	VMMs: 2 6	CHs 6 1 4 4 4 4 4 4
BCID: 682	hitmap: 00000000000000000000000000000000	Boards: N/A	VMMs: N/A
BCID: 2292	hitmap: 00000000000000100000000000000000	Boards: 2	VMMs: 1		CHs 21 4 4 4 4 4 4 4
BCID: 683	hitmap: 00100000000010000000100000010000	Boards: 0 1 2 3	VMMs: 4 3 3 5	CHs 22 23 22 2 1 1 1 1
BCID: 2293	hitmap: 00000000000000100000000000000000	Boards: 2	VMMs: 1		CHs 21 4 4 4 4 4 4 4
BCID: 684	hitmap: 00000000000000000000100000010000	Boards: 0 1	VMMs: 4 3	CHs 22 23 1 1 1 1 1 1
BCID: 2033	hitmap: 00000000000000000000000000010000	Boards: 0	VMMs: 4		CHs 24 4 4 4 4 4 4 4
BCID: 425	hitmap: 00000000000000000000000000000000	Boards: N/A	VMMs: N/A
BCID: 2034	hitmap: 00000000000000000000000000010000	Boards: 0	VMMs: 4		CHs 24 4 4 4 4 4 4 4
BCID: 426	hitmap: 00000000000000000000000000000000	Boards: N/A	VMMs: N/A
BCID: 2625	hitmap: 00000000000000000000000000010000	Boards: 0	VMMs: 4		CHs 3 4 4 4 4 4 4 4
BCID: 1016	hitmap: 00000000000000000000000000000000	Boards: N/A	VMMs: N/A
BCID: 2626	hitmap: 00000000000000000000000000010000	Boards: 0	VMMs: 4		CHs 3 4 4 4 4 4 4 4
BCID: 1017	hitmap: 00000000000000000000000000000000	Boards: N/A	VMMs: N/A
BCID: 1056	hitmap: 00000000000000000000000000010000	Boards: 0	VMMs: 4		CHs 24 4 4 4 4 4 4 4
BCID: 3543	hitmap: 00000000000000000000000000000000	Boards: N/A	VMMs: N/A
BCID: 1057	hitmap: 00000000000000000000000000010000	Boards: 0	VMMs: 4		CHs 24 4 4 4 4 4 4 4
BCID: 3544	hitmap: 00000000000000000000000000000000	Boards: N/A	VMMs: N/A
BCID: 3508	hitmap: 00000000000000000000000000000100	Boards: 0	VMMs: 2		CHs 6 4 4 4 4 4 4 4
BCID: 1899	hitmap: 00000000000000000000000000000000	Boards: N/A	VMMs: N/A
BCID: 3509	hitmap: 00000000000000100100000000000100	Boards: 0 1 2	VMMs: 2 6 1	CHs 6 1 21 4 4 4 4 4
BCID: 1900	hitmap: 00100000000010000000000000000000	Boards: 2 3	VMMs: 3 5	CHs 22 2 1 1 1 1 1 1
BCID: 3510	hitmap: 00000000000000100000000000000000	Boards: 2	VMMs: 1		CHs 21 4 4 4 4 4 4 4
BCID: 1901	hitmap: 00100000000010000000100000010000	Boards: 0 1 2 3	VMMs: 4 3 3 5	CHs 22 23 22 2 1 1 1 1
BCID: 629	hitmap: 00000000000000000000000000000000	Boards: N/A	VMMs: N/A
BCID: 3117	hitmap: 00100000000010000000100000000000	Boards: 1 2 3	VMMs: 3 3 5	CHs 23 22 2 1 1 1 1 1
BCID: 630	hitmap: 00000000000000100100000000000100	Boards: 0 1 2	VMMs: 2 6 1	CHs 6 1 21 4 4 4 4 4
BCID: 3118	hitmap: 00100000000010000000100000010000	Boards: 0 1 2 3	VMMs: 4 3 3 5	CHs 22 23 22 2 1 1 1 1
BCID: 631	hitmap: 00000000000000100000000000000000	Boards: 2	VMMs: 1		CHs 21 4 4 4 4 4 4 4
BCID: 3119	hitmap: 00000000000000000000000000000000	Boards: N/A	VMMs: N/A
BCID: 1388	hitmap: 00000000000000000000000000010000	Boards: 0	VMMs: 4		CHs 24 4 4 4 4 4 4 4
BCID: 3875	hitmap: 00000000000000000000000000000000	Boards: N/A	VMMs: N/A
