
4 29

TIME: 1485125132048737024.000000

A2BB04F8 BCID: 1272
1 28
0 0
0 15
6 26
3 27
0 0
5 11
4 29

TIME: 1485125133085186048.000000

A2BF0DED BCID: 3565
1 28
0 0
0 15
6 26
3 27
2 12
5 11
4 29

TIME: 1485125134104992000.000000

A2BF06DF BCID: 1759
1 28
0 0
0 15
6 26
3 27
2 12
5 11
4 29

TIME: 1485125135085203968.000000

A2AF0FD3 BCID: 4051
1 28
0 0
0 15
0 0
3 27
2 12
5 11
4 29

TIME: 1485125136104969984.000000

A2BF08C6 BCID: 2246
1 28
0 0
0 15
6 26
3 27
2 12
5 11
4 29

TIME: 1485125137085232128.000000

A2BF01BA BCID: 442
1 28
0 0
0 15
6 26
3 27
2 12
5 11
4 29

TIME: 1485125138104929024.000000

A2BF0AAE BCID: 2734
1 28
0 0
0 15
6 26
3 27
2 12
5 11
4 29

TIME: 1485125139085180928.000000

A2BF03A2 BCID: 930
1 28
0 0
0 15
6 26
3 27
2 12
5 11
4 29

TIME: 1485125140105040128.000000

A2AF0C95 BCID: 3221
1 28
0 0
0 15
0 0
3 27
2 12
5 11
4 29

TIME: 1485125141105020160.000000

A2BF0588 BCID: 1416
1 28
0 0
0 15
6 26
3 27
2 12
5 11
4 29

TIME: 1485125142048430080.000000

A2BF0E7C BCID: 3708
1 28
0 0
0 15
6 26
3 27
2 12
5 11
4 29

TIME: 1485125143065366016.000000

A2BF076F BCID: 1903
1 28
0 0
0 15
6 26
3 27
2 12
5 11
4 29

TIME: 1485125144048466944.000000

A2BF0063 BCID: 99
1 28
0 0
0 15
6 26
3 27
2 12
5 11
4 29

TIME: 1485125145085112064.000000

A2BF0956 BCID: 2390
1 28
0 0
0 15
6 26
3 27
2 12
5 11
4 29

TIME: 1485125146065426176.000000

A2BF0249 BCID: 585
1 28
0 0
0 15
6 26
3 27
2 12
5 11
4 29

TIME: 1485125147085244928.000000

A2AF0B3D BCID: 2877
1 28
0 0
0 15
0 0
3 27
2 12
5 11
4 29

TIME: 1485125147085370112.000000

A2B70B3D BCID: 2877
1 28
0 0
0 15
6 26
0 0
2 12
5 11
4 29

TIME: 1485125148085138944.000000

A2AF0431 BCID: 1073
1 28
0 0
0 15
0 0
3 27
2 12
5 11
4 29

TIME: 1485125149105053952.000000

A2AF0D25 BCID: 3365
1 28
0 0
0 15
0 0
3 27
2 12
5 11
4 29

TIME: 1485125150104911104.000000

A2BF061A BCID: 1562
1 28
0 0
0 15
6 26
3 27
2 12
5 11
4 29

TIME: 1485125151048393984.000000

A2BF0F0D BCID: 3853
1 28
0 0
0 15
6 26
3 27
2 12
5 11
4 29

TIME: 1485125152105052928.000000

A2AF0801 BCID: 2049
1 28
0 0
0 15
0 0
3 27
2 12
5 11
4 29

TIME: 1485125152105176832.000000

A2B70801 BCID: 2049
1 28
0 0
0 15
6 26
0 0
2 12
5 11
4 29

TIME: 1485125153065364992.000000

A2BF00F5 BCID: 245
1 28
0 0
0 15
6 26
3 27
2 12
5 11
